,r,i,v,b,g
DEC,"[56.0644875, 55.9717797, 55.99652, 55.9381093, 56.1706613, 55.9760232, 55.9378838, 56.1719685, 56.1078873, 56.0118729, 56.0568682, 56.1260052, 55.987838, 55.9403747, 56.0708763, 56.0915556, 56.0852004, 56.0815928, 56.0330237, 56.0904156, 56.1782908, 56.098093, 56.1860488, 56.0356478, 56.1342033]","[56.0644169, 55.9716132, 55.9963561, 55.9381184, 56.1707539, 55.9760105, 55.9378414, 56.1720217, 56.1079061, 56.0118459, 56.0568501, 56.126038, 55.9878068, 55.9401287, 56.0708612, 56.0915565, 56.0852026, 56.0815956, 56.0329974, 56.0904038, 56.1783103, 56.0980595, 56.1860357, 56.0355791, 56.1341604]","[56.0644839, 55.9717586, 55.9964236, 55.9381066, 56.1706775, 55.9760181, 55.937878, 56.1720026, 56.1078834, 56.0118709, 56.0568652, 56.1260177, 55.9878244, 55.9401116, 56.0709028, 56.0915777, 56.0851947, 56.0815866, 56.0330373, 56.0904284, 56.178292, 56.0980907, 56.1860518, 56.0356304, 56.134212]","[56.0645842, 55.9719358, 55.996421, 55.9381425, 56.1706757, 55.9760772, 55.9380111, 56.1720609, 56.10789, 56.0119639, 56.0569362, 56.1260407, 55.9878996, 55.940062, 56.0709792, 56.0915822, 56.0852342, 56.0816218, 56.0330486, 56.0904561, 56.178319, 56.0981395, 56.1860902, 56.0357174, 56.1343408]","[56.064485490755615, 55.97171552161369, None, 55.93814517851264, 56.17072369058936, 55.976011223128985, 55.93786591296204, 56.17198572900517, 56.107894875004966, 56.01186329473315, 56.056943641021064, 56.12601904422731, None, 55.939909687135554, 56.0708948124305, 56.09157862020016, 56.08523271121957, 56.08162380018782, 56.033020791591795, 56.0904358014842, 56.178298481929914, 56.09808945282366, 56.18602543776841, 56.03564330639737, 56.13418523058546]"
ID,,,,,"[420872508292912512, 420911364853215360, None, 420866903351769600, 420964386232219648, 420868007167253376, 420862131652010752, 420964759890587648, 420870824658830336, 420868586978944768, 420868831800928640, 420870893385206016, None, 420864708632374784, 420871821098157696, 420873328622834432, 420871855457889792, 420872061616320384, 420871541916442880, 420872130335792256, 420874294999283584, 420872748811076224, 420874982194048128, 420866564058188672, 420873161128172160]"
RA,"[0.9910691, 0.9678977, 0.970235, 1.4236636, 1.3905425, 1.3011487, 1.2721151, 1.2954491, 1.2773716, 1.2590009, 1.2345082, 1.2446623, 1.222503, 1.1652398, 1.1785886, 1.1804344, 1.1762013, 1.1621564, 1.1341223, 1.1376218, 1.13151, 1.0797159, 1.0588612, 1.0306254, 1.0419602]","[0.9911382, 0.9680464, 0.9705606, 1.4237116, 1.3906064, 1.301215, 1.2721714, 1.2954915, 1.2774084, 1.2590786, 1.2341627, 1.244715, 1.2225437, 1.165273, 1.1786563, 1.1804584, 1.1762536, 1.1622049, 1.1341277, 1.1376785, 1.1315421, 1.0797703, 1.0589239, 1.0306745, 1.0420109]","[0.9911038, 0.9679479, 0.9704824, 1.4236903, 1.3905734, 1.3012105, 1.2721427, 1.2955113, 1.2774065, 1.2590413, 1.2341495, 1.2447081, 1.2225216, 1.1652131, 1.178879, 1.1804668, 1.1762507, 1.162185, 1.1341524, 1.1376645, 1.13155, 1.0797446, 1.0589085, 1.0306492, 1.0419947]","[0.9911195, 0.9677257, 0.9702823, 1.4236373, 1.3906424, 1.3011924, 1.2720788, 1.2956126, 1.2774451, 1.2591127, 1.234038, 1.2447463, 1.222503, 1.165122, 1.178674, 1.1805281, 1.1762728, 1.1622065, 1.1341832, 1.1376937, 1.1316093, 1.079766, 1.0589839, 1.0306714, 1.0419785]","[0.9912810737480465, 0.9679577554460551, None, 1.4238999689657197, 1.3907476779173094, 1.3013076296454136, 1.2723068771267303, 1.2956569373834752, 1.2775400555115808, 1.2591271404712872, 1.234187204754192, 1.244777998615263, None, 1.1652789987655134, 1.1787717861683937, 1.1805840362994329, 1.1763903917958374, 1.1623159635645688, 1.1342277606995304, 1.1378136720884326, 1.1316421868149067, 1.0798500225157464, 1.058974560465921, 1.030795874155018, 1.0420618522465583]"
dist,,,,,"[0.00011025287619946762, 7.130200390807811e-05, None, 0.00012863047891329462, 0.0001218401806384996, 8.201062895212557e-05, 0.00010127872926062652, 0.00010854139244462044, 8.591041136161363e-05, 6.353245926775414e-05, 0.00020114279547933347, 5.745703573547449e-05, None, 0.0004676304832193605, 9.543677956865907e-05, 7.806743396134345e-05, 0.00010181538984621844, 8.576388555913158e-05, 5.10220822120113e-05, 0.00010045197458235326, 6.561446470916297e-05, 6.690201713716479e-05, 6.066758819714696e-05, 8.73392522967128e-05, 5.262873762520316e-05]"
mag,"[-15.1414, -13.0942, -12.8655, -14.9933, -15.4984, -14.012, -15.287, -13.9563, -15.0802, -14.1376, -17.0124, -15.2426, -15.2173, -13.3497, -14.1257, -14.2725, -15.8165, -15.7695, -13.5633, -15.3303, -15.3686, -15.189, -14.8278, -16.1845, -14.5611]","[-14.4568, -12.0349, -11.3105, -13.8378, -14.9776, -12.951, -14.7655, -13.4244, -14.0024, -13.2477, -16.6945, -14.3155, -14.3324, -12.6736, -13.2669, -13.5975, -15.2211, -14.7775, -12.5647, -14.7797, -14.4393, -14.1175, -13.8847, -15.4546, -13.9076]","[-14.6064, -12.3519, -11.8779, -15.1154, -15.356, -13.7281, -14.7228, -13.3657, -15.2466, -13.8468, -16.7755, -15.2856, -15.1416, -14.0278, -13.8396, -13.743, -15.8312, -15.9654, -13.0588, -14.9383, -15.474, -15.2378, -14.7219, -16.3478, -13.9807]","[-12.4642, -8.5326, -9.8639, -15.2198, -14.1856, -12.7824, -11.698, -9.3748, -15.2918, -12.5552, -15.822, -15.0489, -14.7032, -14.3243, -12.8086, -11.0605, -15.545, -16.0232, -11.2114, -13.1588, -15.3665, -15.1111, -14.3216, -16.3279, -10.9108]","[10.90309, 12.686633, None, 10.8647995, 10.349059, 11.881409, 10.6947775, 11.946871, 10.734034, 11.720077, 8.01369, 10.56437, None, 11.463161, 11.757168, 11.608679, 9.8315735, 9.801515, 12.288462, 10.539367, 10.446197, 10.702864, 11.059405, 9.266619, 11.418894]"
parallax,,,,,"[16.093373595170252, nan, None, 1.1780457262276653, 1.013635650935396, 1.5272040330450274, 0.68384067907586, 0.5957473190073399, 1.612621066875724, 3.0955975518082486, 1.6023897198568071, 3.258399229780823, None, 1.0280664132864676, 1.3407035412054658, 2.252865610263447, 0.987387585906695, 0.8284667535446327, 1.1395743263990985, 0.4035948423934578, 1.9525910075305057, 1.8602879699830581, 1.8687878462390066, 5.02444881054465, 0.8072649983161586]"
parallax_err,,,,,"[0.04181271495485498, nan, None, 0.039137298885801086, 0.0353427318693611, 0.03222277840546657, 0.033715001161743696, 0.034286177212806, 0.035375113885252135, 0.03497039173415769, 0.04775396337809429, 0.03654448415118246, None, 0.040313229752586645, 0.036738267196165825, 0.0367527820357333, 0.03956496342828258, 0.04903601527730552, 0.03309967408116625, 0.03919910008909334, 0.04214491668725952, 0.08516496528324695, 0.05463828850556671, 0.2574420361696109, 0.04098027300458699]"
pmdec,,,,,"[-40.373391110877684, nan, None, -5.015759608987013, -2.3408709055447368, 0.6338006913265896, 0.5183825371777034, -6.258097548889124, -0.6527670354103725, -3.5165906116429593, -2.6861332326489573, -7.528998996609262, None, -5.2588315457141075, -0.03450408798069633, 6.57474475406353, -1.4867385303168268, -0.7774988791881599, -6.5974815292173865, -1.660754711491672, -8.156042193009334, -8.786020697280769, -3.0884666336596993, -1.7601633711033462, -6.055575866091416]"
pmdec_err,,,,,"[0.04631408767562678, nan, None, 0.04597320734195281, 0.04077299443788611, 0.03465298584628418, 0.03707168571125846, 0.03991498887864783, 0.03802749768955104, 0.036984957186213134, 0.04844680403622248, 0.03933226772675317, None, 0.05352030956513459, 0.03982011488580786, 0.03867633461483443, 0.04003462629913907, 0.05107716826793858, 0.040673091632687876, 0.04134149187104703, 0.048156222713680516, 0.10459272483037371, 0.06392862945893299, 0.33338557316377765, 0.04734220324237995]"
pmra,,,,,"[-29.17064131382206, nan, None, -1.1302027543140132, -12.226548941923587, 14.50481845272766, -0.3748746875464371, -7.203796187558962, -9.739978665600656, 27.812059002115323, -1.8869491958786084, 24.032407763520965, None, -3.2272144076896803, 1.6597439198602228, 3.2760958934832054, 6.343061820061128, -1.6961786137673853, -14.624999127268184, -4.781234076323932, -6.951750082756854, -10.53390295872749, 15.634094820413141, -3.5493306307506165, 6.234776646073723]"
