,r,i,v,b,g
DEC,"[62.1208671, 62.1212802, 62.1984348, 62.2163084, 61.9985198, 62.1275727, 61.9700627, 62.1251918, 62.0229574, 62.0464563, 62.0916454, 62.1826557, 62.1918386, 62.203668, 62.0721855, 61.9870169, 62.1752539, 62.1067535, 62.0249068, 62.1596495, 62.1203403, 61.9657639, 62.0499621]","[62.120766, 62.1213263, 62.1985414, 62.2164682, 61.9984225, 62.1275929, 61.9699615, 62.1251771, 62.0229039, 62.0464086, 62.09158, 62.1826184, 62.1918485, 62.2037343, 62.0721776, 61.9868916, 62.1752907, 62.1068323, 62.0248285, 62.1596766, 62.120374, 61.9658048, 62.0498382]","[62.1210121, 62.1212683, 62.1983918, 62.2161538, 61.9986614, 62.12759, 61.9702404, 62.1252257, 62.0231057, 62.0465551, 62.091678, 62.182687, 62.1918591, 62.2036753, 62.0723162, 61.9872128, 62.1752975, 62.1069386, 62.0250829, 62.1597358, 62.1202764, 61.9660825, 62.0501811]","[62.1207591, 62.1214311, 62.1983376, 62.2161212, 61.9988442, 62.1276128, 61.9703491, 62.1252153, 62.0232047, 62.0465985, 62.0917438, 62.1824952, 62.1917656, 62.2036492, 62.0722163, 61.9873245, 62.1752118, 62.1068856, 62.0251162, 62.1595324, 62.1204058, 61.966216, 62.0501139]","[None, 62.12108289385402, None, 62.21601937912444, 61.99848145994004, 62.12751636309695, 61.97014176518689, 62.125201911164055, 62.02300736846005, 62.0465383736315, 62.091629571226605, 62.18253897191799, 62.19179967833942, 62.20366309892762, 62.07229680036877, 61.9872246201847, 62.17536642487717, 62.106908014574266, None, None, None, None, None]"
ID,,,,,"[None, 513979084213601792, None, 513991762957004416, 513602772055238016, 513615558173884544, 513601157147534976, 513615764332333184, 513613359154704128, 513613457934694272, 513615175921610752, 513616726408994944, 513616898207683584, 513616996987737216, 513614458666314624, 513612981197602688, 513619440828334464, 513614767903945984, None, None, None, None, None]"
RA,"[37.0639689, 37.6066101, 37.5969768, 37.5841293, 37.5109968, 37.5150603, 37.4574321, 37.4270979, 37.3989985, 37.3924449, 37.3946693, 37.4020125, 37.3634795, 37.346733, 37.3032433, 37.2831139, 37.3058859, 37.284553, 37.1923916, 37.1382417, 37.6350636, 37.0520219, 37.0621359]","[37.0639375, 37.6066402, 37.5970311, 37.5842219, 37.5109885, 37.5150619, 37.4573268, 37.4271011, 37.3989427, 37.3923788, 37.3945399, 37.4020994, 37.3635525, 37.3468467, 37.3032151, 37.2829607, 37.3059474, 37.2848103, 37.1922585, 37.1382287, 37.6350588, 37.0518509, 37.0619013]","[37.0649283, 37.606015, 37.5961222, 37.5833118, 37.5111683, 37.5147029, 37.4577222, 37.4270147, 37.3994004, 37.3926616, 37.3947284, 37.4018392, 37.3633961, 37.3466873, 37.30371, 37.2838158, 37.3060519, 37.2851589, 37.1933423, 37.1388053, 37.6344564, 37.0535059, 37.0632534]","[37.0646015, 37.606459, 37.5959508, 37.5829101, 37.5116874, 37.5149704, 37.4584352, 37.4272053, 37.399727, 37.3930771, 37.3950192, 37.401578, 37.3631898, 37.3466237, 37.303969, 37.2844081, 37.3059665, 37.2852911, 37.1934285, 37.1384982, 37.6348438, 37.0538401, 37.0630816]","[None, 37.60613841602547, None, 37.58367687756966, 37.510741374360194, 37.51487403177791, 37.45725269349694, 37.42720196082857, 37.39911189377015, 37.39260838264663, 37.39460432442672, 37.40208390542877, 37.363622118704335, 37.34697464318301, 37.30347755702085, 37.283578872646444, 37.306357038794275, 37.28478215568685, None, None, None, None, None]"
dist,,,,,"[None, 0.00030120813306439606, None, 0.00036158931546862567, 0.00013336723358369594, 0.0001100130183953931, 0.0001225926887141282, 4.203352907297098e-05, 6.823796520777715e-05, 0.0001078889761899401, 4.125208333196814e-05, 0.00011807961782110183, 6.937961026185861e-05, 0.00010453575044099105, 0.00015162332468127975, 0.00029643350082499993, 0.0002403787928097641, 0.00018463074700388323, None, None, None, None, None]"
mag,"[-14.0575, -14.0679, -13.7182, -13.2916, -14.2948, -15.4884, -14.5608, -15.192, -13.9187, -14.3112, -13.6013, -13.2045, -13.2538, -13.6805, -13.0431, -15.2136, -15.7232, -15.9137, -14.4825, -13.406, -14.9572, -14.4147, -13.9397]","[-14.0178, -14.1834, -13.7332, -13.2066, -14.366, -15.4154, -14.6111, -15.2417, -14.0439, -14.4282, -13.4459, -13.0264, -13.159, -13.6309, -12.8965, -15.4878, -16.0856, -16.0223, -14.5354, -13.317, -15.3849, -13.9914, -14.1269]","[-13.5707, -13.5412, -13.3834, -12.82, -13.78, -15.3006, -14.1086, -14.7923, -13.5446, -13.8714, -13.1913, -12.7683, -12.7969, -13.1725, -12.7731, -14.4372, -14.9011, -15.814, -13.9507, -12.9665, -14.1047, -13.8113, -13.2906]","[-12.7271, -12.7182, -12.8184, -11.7402, -12.7233, -14.7441, -13.0756, -13.9657, -12.8087, -13.0497, -12.1898, -11.9573, -12.1503, -12.1257, -11.3997, -12.7661, -12.4116, -15.1993, -12.9329, -11.9396, -12.5517, -12.8127, -12.0525]","[None, 12.457915, None, 13.115083, 12.138499, 10.772052, 11.923601, 11.227179, 12.337074, 12.029709, 12.764158, 12.894406, 12.931595, 12.640444, 13.109868, 11.302911, 10.401895, 10.810971, None, None, None, None, None]"
parallax,,,,,"[None, 1.2853655965723307, None, 0.9872520252276171, 1.4548257031837446, 0.45549920465631727, 3.861371094797364, 8.805691633886939, 0.6345527784625103, 0.47216300615836376, 1.9587749580879714, 1.1601877598920058, 0.4464942353563346, 2.127453456677739, 0.8763166508926562, 1.3979394597512533, 0.36170980640128736, 0.4468440447391502, None, None, None, None, None]"
parallax_err,,,,,"[None, 0.029940296318728504, None, 0.019698132184602028, 0.08165081392369271, 0.0500174725841068, 0.02867648828524321, 0.4345263849618233, 0.06296547110485239, 0.02794711145971517, 0.028580533086959126, 0.027219220245160627, 0.030838297645245108, 0.031189716289531585, 0.01901664320740375, 0.02793398343648303, 0.031814254300609926, 0.029664224438059206, None, None, None, None, None]"
pmdec,,,,,"[None, 0.7808086375116818, None, -4.590222976717125, -9.683983269226365, -0.24453916636532158, -22.3138626095129, -4.303323771876052, -1.6162254084594274, 0.1139055666534121, -4.740283047425629, -1.9733323356998205, 0.35576649113470726, -7.396112309854291, -0.5519856130621084, 8.669714664904891, -0.5533222351434792, -0.12016081908048697, None, None, None, None, None]"
pmdec_err,,,,,"[None, 0.055598541470341406, None, 0.036200921949591, 0.13112902307589505, 0.08782626583868497, 0.0515617251579315, 0.7749308178858977, 0.10524028083349062, 0.04940792142542802, 0.050273597716988985, 0.04458461010290997, 0.05269943138870421, 0.05725352878332218, 0.031268118640791064, 0.047127030994580085, 0.05458662818573132, 0.05081639355830293, None, None, None, None, None]"
pmra,,,,,"[None, -2.4863550566512576, None, 1.0021821143698613, 1.5015936754388162, -1.021514097343409, 35.597598191884295, 18.240670499459075, 0.20244200610008367, -1.2222051391860214, 17.743328434242443, 3.1570582030132712, 0.17282218779327568, 9.517152423387857, 1.4439373846057202, -13.458532377237939, 0.2315877931537637, -1.02427308501209, None, None, None, None, None]"
